date,year,quarter,duration,ue
2003q4,2003,4,8,.2150512
2004q1,2004,1,8,.21508983
2004q2,2004,2,8,.1902577
2004q3,2004,3,8,.20667326
2004q4,2004,4,8,.15185544
2005q1,2005,1,8,.2065966
2005q2,2005,2,8,.405251
2005q3,2005,3,8,.28535637
2005q4,2005,4,8,.18545295
2006q1,2006,1,8,.21258049
2006q2,2006,2,8,.20666519
2006q3,2006,3,8,.1816566
2006q4,2006,4,8,.21688992
2007q1,2007,1,8,.20557387
2007q2,2007,2,8,.17184311
2007q3,2007,3,8,.16194749
2007q4,2007,4,8,.17238581
2008q1,2008,1,8,.2133493
2008q2,2008,2,8,.27218342
2008q3,2008,3,8,.15219687
2008q4,2008,4,8,.12386399
2009q1,2009,1,8,.097935304
2009q2,2009,2,8,.10591595
2009q3,2009,3,8,.125835
2009q4,2009,4,8,.10809103
2010q1,2010,1,8,.10994039
2010q2,2010,2,8,.17199774
2010q3,2010,3,8,.15909776
2010q4,2010,4,8,.12211814
2011q1,2011,1,8,.14594358
2011q2,2011,2,8,.1134748
2011q3,2011,3,8,.12619933
2011q4,2011,4,8,.16468613
2012q1,2012,1,8,.16031
2012q2,2012,2,8,.14012608
2012q3,2012,3,8,.10419266
2012q4,2012,4,8,.14368901
2013q1,2013,1,8,.13180445
2013q2,2013,2,8,.18402693
2013q3,2013,3,8,.18548393
2013q4,2013,4,8,.20373373
2014q1,2014,1,8,.12528086
2014q2,2014,2,8,.12858608
